Year,State,District,Awards,Funding
,,Summary for Alabama by Congressional District,,
2024,VA,11,4,"$4,382,631"
2024,VA,Total,123,"$71,262,398"
2024,,Summary for Washington by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,WA,1,3,"$1,720,437"
2024,WA,4,1,"$92,840"
2024,WA,5,12,"$4,425,506"
2024,WA,7,309,"$403,950,322"
2024,WA,Total,325,"$410,189,105"
2024,,Summary for West Virginia by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,WV,1,1,"$74,000"
2024,WV,2,7,"$3,598,676"
2024,WV,Total,8,"$3,672,676"
2024,,Summary for Wisconsin by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,WI,2,83,"$43,601,146"
2024,WI,3,1,"$369,431"
2024,WI,4,19,"$8,604,170"
2024,WI,Total,103,"$52,574,747"
2024,,Summary for Wyoming by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,WY,0,1,"$202,355"
2024,WY,Total,1,"$202,355"
,,,,
,,,,
,,,,
,,,,
,,,,
2023,,Summary for Alabama by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,5,"$2,114,769"
2023,,3,4,"$823,642"
2023,,7,82,"$59,238,847"
2023,,Total,91,"$62,177,258"
2023,,Summary for Alaska by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,At-Large,1,"$694,994"
2023,,Total,1,"$694,994"
2023,,Summary for Arizona by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,11,"$4,596,571"
2023,,2,5,"$4,604,977"
2023,,3,1,"$505,400"
2023,,4,9,"$3,764,159"
2023,,7,28,"$14,807,750"
2023,,Total,54,"$28,278,857"
2023,,Summary for Arkansas by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,17,"$6,847,470"
2023,,3,1,"$259,553"
2023,,Total,18,"$7,107,023"
2023,,Summary for California by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,1,"$147,500"
2023,,4,44,"$17,230,038"
2023,,8,3,"$1,899,980"
2023,,11,172,"$116,722,026"
2023,,12,48,"$28,135,159"
2023,,13,4,"$925,730"
2023,,14,3,"$3,178,172"
2023,,15,6,"$16,877,469"
2023,,16,107,"$82,534,944"
2023,,17,5,"$3,394,977"
2023,,18,1,"$146,500"
2023,,19,9,"$4,284,911"
2023,,20,1,"$298,130"
2023,,24,5,"$2,063,062"
2023,,28,11,"$9,143,297"
2023,,30,21,"$13,795,949"
2023,,31,14,"$9,645,836"
2023,,32,2,"$609,596"
2023,,35,3,"$658,438"
2023,,36,80,"$180,762,475"
2023,,37,20,"$11,012,004"
2023,,39,14,"$4,869,161"
2023,,40,2,"$365,643"
2023,,44,11,"$6,827,966"
2023,,45,2,"$692,307"
2023,,47,57,"$32,677,711"
2023,,49,5,"$5,938,217"
2023,,50,185,"$179,241,943"
2023,,51,9,"$6,016,006"
2023,,Total,845,"$740,095,147"
2023,,Summary for Colorado by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,14,"$5,755,960"
2023,,2,57,"$30,981,847"
2023,,6,79,"$29,417,244"
2023,,7,1,"$215,360"
2023,,Total,151,"$66,370,411"
2023,,Summary for Connecticut by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,1,"$474,697"
2023,,2,5,"$2,151,486"
2023,,3,112,"$52,060,995"
2023,,4,2,"$1,271,240"
2023,,5,19,"$8,596,751"
2023,,Total,139,"$64,555,169"
2023,,Summary for Delaware by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,At-Large,2,"$772,744"
2023,,Total,2,"$772,744"
2023,,Summary for District Of Columbia by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,98,48,"$28,620,137"
2023,,Total,48,"$28,620,137"
2023,,Summary for Florida by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,5,"$1,239,884"
2023,,3,52,"$30,078,433"
2023,,10,8,"$3,148,410"
2023,,15,17,"$9,019,033"
2023,,21,3,"$2,299,998"
2023,,22,1,"$294,948"
2023,,23,3,"$824,695"
2023,,26,6,"$1,536,427"
2023,,27,15,"$7,948,537"
2023,,Total,110,"$56,390,365"
2023,,Summary for Georgia by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,1,"$191,349"
2023,,4,1,"$207,000"
2023,,5,166,"$130,142,632"
2023,,6,1,"$299,783"
2023,,10,65,"$40,218,788"
2023,,11,2,"$810,505"
2023,,12,3,"$816,475"
2023,,13,1,"$609,132"
2023,,Total,240,"$173,295,664"
2023,,Summary for Hawaii by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,7,"$3,356,638"
2023,,2,1,"$218,250"
2023,,Total,8,"$3,574,888"
2023,,Summary for Idaho by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,1,"$544,548"
2023,,2,4,"$839,576"
2023,,Total,5,"$1,384,124"
2023,,Summary for Illinois by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,59,"$43,687,000"
2023,,5,89,"$51,433,307"
2023,,6,4,"$1,794,995"
2023,,7,56,"$23,902,113"
2023,,10,4,"$1,391,066"
2023,,12,3,"$1,249,510"
2023,,13,24,"$10,330,034"
2023,,17,1,"$74,000"
2023,,Total,240,"$133,862,025"
2023,,Summary for Indiana by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,14,"$6,627,422"
2023,,4,20,"$9,616,430"
2023,,6,1,"$999,212"
2023,,7,41,"$19,143,641"
2023,,9,7,"$2,026,635"
2023,,Total,83,"$38,413,340"
2023,,Summary for Iowa by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,53,"$20,754,020"
2023,,4,13,"$4,669,660"
2023,,Total,66,"$25,423,680"
2023,,Summary for Kansas by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,8,"$2,165,040"
2023,,3,14,"$5,710,509"
2023,,Total,22,"$7,875,549"
2023,,Summary for Kentucky by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,3,14,"$8,152,917"
2023,,6,20,"$7,424,524"
2023,,Total,34,"$15,577,441"
2023,,Summary for Louisiana by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,32,"$19,696,608"
2023,,2,6,"$2,419,857"
2023,,3,5,"$4,239,212"
2023,,4,5,"$1,664,796"
2023,,6,8,"$3,243,945"
2023,,Total,56,"$31,264,418"
2023,,Summary for Maine by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,6,"$6,132,135"
2023,,Total,6,"$6,132,135"
2023,,Summary for Maryland by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,2,"$1,338,817"
2023,,3,2,"$1,472,622"
2023,,4,24,"$13,508,878"
2023,,6,31,"$372,690,725"
2023,,7,255,"$219,746,725"
2023,,8,133,"$187,062,293"
2023,,Total,447,"$795,820,060"
2023,,Summary for Massachusetts by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,78,"$39,066,724"
2023,,3,13,"$13,809,433"
2023,,4,9,"$3,891,083"
2023,,5,35,"$25,151,770"
2023,,7,380,"$312,686,284"
2023,,8,110,"$67,384,651"
2023,,9,3,"$1,341,170"
2023,,Total,628,"$463,331,115"
2023,,Summary for Michigan by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,1,"$228,005"
2023,,3,3,"$1,547,759"
2023,,4,4,"$1,064,996"
2023,,6,89,"$40,087,794"
2023,,7,19,"$9,500,134"
2023,,11,1,"$374,998"
2023,,13,7,"$2,581,308"
2023,,Total,124,"$55,384,994"
2023,,Summary for Minnesota by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,16,"$5,936,807"
2023,,4,3,"$480,024"
2023,,5,76,"$41,331,180"
2023,,Total,95,"$47,748,011"
2023,,Summary for Mississippi by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,4,3,"$553,951"
2023,,Total,3,"$553,951"
2023,,Summary for Missouri by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,166,"$82,684,069"
2023,,3,20,"$11,070,883"
2023,,5,7,"$3,757,039"
2023,,Total,193,"$97,511,991"
2023,,Summary for Montana by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,13,"$9,143,912"
2023,,Total,13,"$9,143,912"
2023,,Summary for Nebraska by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,5,"$1,902,331"
2023,,2,20,"$11,161,942"
2023,,Total,25,"$13,064,273"
2023,,Summary for Nevada by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,1,"$146,071"
2023,,2,6,"$2,969,365"
2023,,Total,7,"$3,115,436"
2023,,Summary for New Hampshire by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,31,"$15,478,828"
2023,,Total,31,"$15,478,828"
2023,,Summary for New Jersey by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,3,3,"$5,377,802"
2023,,5,13,"$14,214,765"
2023,,6,2,"$236,920"
2023,,10,58,"$42,953,124"
2023,,12,8,"$3,614,760"
2023,,Total,84,"$66,397,371"
2023,,Summary for New Mexico by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,17,"$6,394,709"
2023,,2,1,"$549,168"
2023,,3,7,"$5,159,369"
2023,,Total,25,"$12,103,246"
2023,,Summary for New York by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,13,"$5,910,137"
2023,,2,1,"$995,450"
2023,,3,11,"$5,983,362"
2023,,9,2,"$485,813"
2023,,10,16,"$15,123,276"
2023,,12,204,"$132,400,310"
2023,,13,160,"$149,660,534"
2023,,14,45,"$30,717,512"
2023,,16,4,"$6,874,330"
2023,,17,2,"$789,726"
2023,,19,47,"$22,974,196"
2023,,20,14,"$7,533,242"
2023,,21,1,"$247,500"
2023,,22,9,"$3,940,211"
2023,,25,34,"$17,475,849"
2023,,26,29,"$13,892,183"
2023,,Total,592,"$415,003,631"
2023,,Summary for North Carolina by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,3,"$1,464,484"
2023,,2,6,"$3,811,436"
2023,,4,296,"$347,799,594"
2023,,5,11,"$6,540,111"
2023,,7,8,"$56,929,352"
2023,,12,5,"$1,892,871"
2023,,13,1,"$295,096"
2023,,Total,330,"$418,732,944"
2023,,Summary for North Dakota by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,At-Large,4,"$1,206,343"
2023,,Total,4,"$1,206,343"
2023,,Summary for Ohio by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,44,"$26,892,864"
2023,,3,79,"$32,827,092"
2023,,7,2,"$2,119,835"
2023,,8,1,"$411,695"
2023,,9,7,"$2,728,175"
2023,,11,55,"$29,094,526"
2023,,12,2,"$417,424"
2023,,14,1,"$89,153"
2023,,15,2,"$558,426"
2023,,Total,193,"$95,139,190"
2023,,Summary for Oklahoma by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,3,5,"$1,715,138"
2023,,4,7,"$2,456,538"
2023,,5,18,"$10,899,724"
2023,,Total,30,"$15,071,400"
2023,,Summary for Oregon by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,5,"$3,055,975"
2023,,3,53,"$40,652,546"
2023,,4,4,"$1,386,200"
2023,,Total,62,"$45,094,721"
2023,,Summary for Pennsylvania by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,12,"$11,283,087"
2023,,2,41,"$26,074,733"
2023,,3,176,"$117,993,434"
2023,,4,3,"$841,679"
2023,,5,1,"$130,205"
2023,,6,8,"$14,256,088"
2023,,10,15,"$5,790,950"
2023,,12,126,"$71,396,020"
2023,,14,1,"$157,813"
2023,,15,18,"$7,123,662"
2023,,Total,401,"$255,047,671"
2023,,Summary for Rhode Island by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,20,"$10,135,767"
2023,,2,27,"$2,555,129"
2023,,Total,47,"$12,690,896"
2023,,Summary for South Carolina by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,2,"$2,186,855"
2023,,2,1,"$299,982"
2023,,3,11,"$2,371,801"
2023,,4,7,"$4,230,930"
2023,,6,25,"$9,045,846"
2023,,Total,46,"$18,135,414"
2023,,Summary for South Dakota by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,At-Large,2,"$745,370"
2023,,Total,2,"$745,370"
2023,,Summary for Tennessee by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,3,"$755,848"
2023,,2,5,"$2,331,348"
2023,,4,1,"$389,747"
2023,,5,17,"$4,522,373"
2023,,7,81,"$54,697,240"
2023,,9,60,"$59,176,372"
2023,,Total,167,"$121,872,928"
2023,,Summary for Texas by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,3,"$662,999"
2023,,7,3,"$2,023,407"
2023,,9,62,"$36,117,787"
2023,,10,42,"$15,440,734"
2023,,13,2,"$845,277"
2023,,14,46,"$58,907,747"
2023,,15,1,"$561,283"
2023,,16,5,"$1,795,250"
2023,,17,1,"$443,169"
2023,,18,22,"$9,955,874"
2023,,19,2,"$1,014,750"
2023,,20,47,"$23,302,683"
2023,,24,6,"$2,251,256"
2023,,25,4,"$904,166"
2023,,30,62,"$38,155,648"
2023,,32,2,"$1,055,818"
2023,,37,9,"$4,157,969"
2023,,Total,319,"$197,595,817"
2023,,Summary for Utah by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,53,"$27,582,686"
2023,,3,1,"$369,480"
2023,,Total,54,"$27,952,166"
2023,,Summary for Vermont by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,At-Large,18,"$8,500,715"
2023,,Total,18,"$8,500,715"
2023,,Summary for Virginia by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,3,2,"$2,284,788"
2023,,4,11,"$5,073,908"
2023,,5,63,"$27,047,167"
2023,,9,21,"$7,460,807"
2023,,10,10,"$15,440,358"
2023,,11,3,"$3,560,971"
2023,,Total,110,"$60,867,999"
2023,,Summary for Washington by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,2,"$1,421,718"
2023,,4,1,"$80,715"
2023,,5,11,"$4,137,905"
2023,,6,1,"$171,704"
2023,,7,286,"$411,591,263"
2023,,9,1,"$272,625"
2023,,Total,302,"$417,675,930"
2023,,Summary for West Virginia by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,1,2,"$518,000"
2023,,2,7,"$3,076,688"
2023,,Total,9,"$3,594,688"
2023,,Summary for Wisconsin by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,2,80,"$53,111,221"
2023,,4,16,"$7,618,113"
2023,,7,1,"$106,212"
2023,,Total,97,"$60,835,546"
2023,,Summary for Wyoming by Congressional District,,
2023,,Congressional District,Awards,Funding
2023,,At-Large,1,"$169,243"
2023,,Total,1,"$169,243"
,,,,
2022,,Summary for Alabama by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,5,"$1,907,837"
2022,,3,3,"$375,364"
2022,,6,2,"$1,200,000"
2022,,7,68,"$60,104,054"
2022,,Total,78,"$63,587,255"
2022,,Summary for Alaska by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,At-Large,1,"$750,627"
2022,,Total,1,"$750,627"
2022,,Summary for Arizona by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,2,"$2,243,954"
2022,,3,24,"$13,321,806"
2022,,5,1,"$1,000,000"
2022,,6,8,"$3,506,504"
2022,,7,2,"$566,656"
2022,,9,13,"$5,119,558"
2022,,Total,50,"$25,758,478"
2022,,Summary for Arkansas by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,20,"$8,137,711"
2022,,3,3,"$939,126"
2022,,Total,23,"$9,076,837"
2022,,Summary for California by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,2,"$1,646,749"
2022,,3,43,"$18,148,986"
2022,,4,1,"$286,968"
2022,,11,1,"$300,000"
2022,,12,181,"$196,859,538"
2022,,13,56,"$32,394,233"
2022,,14,6,"$15,539,056"
2022,,15,2,"$2,916,780"
2022,,16,4,"$974,022"
2022,,17,2,"$347,427"
2022,,18,121,"$151,380,120"
2022,,19,1,"$138,040"
2022,,20,13,"$5,588,904"
2022,,23,1,"$299,093"
2022,,24,6,"$2,759,981"
2022,,26,1,"$300,000"
2022,,27,8,"$6,401,607"
2022,,28,25,"$16,426,827"
2022,,32,12,"$7,805,211"
2022,,33,77,"$205,732,752"
2022,,35,1,"$262,735"
2022,,37,11,"$5,877,163"
2022,,39,1,"$426,000"
2022,,41,18,"$7,460,484"
2022,,43,10,"$5,010,013"
2022,,44,4,"$2,892,867"
2022,,45,43,"$21,261,479"
2022,,48,1,"$200,524"
2022,,49,70,"$171,175,453"
2022,,52,139,"$94,763,352"
2022,,53,1,"$705,382"
2022,,Total,862,"$976,281,746"
2022,,Summary for Colorado by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,19,"$13,476,768"
2022,,2,28,"$19,159,545"
2022,,4,34,"$18,502,973"
2022,,6,94,"$36,010,962"
2022,,7,1,"$177,718"
2022,,Total,176,"$87,327,966"
2022,,Summary for Connecticut by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,5,"$1,573,349"
2022,,3,110,"$53,737,357"
2022,,5,14,"$7,319,403"
2022,,Total,129,"$62,630,109"
2022,,Summary for Delaware by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,At-Large,2,"$1,608,475"
2022,,Total,2,"$1,608,475"
2022,,Summary for District Of Columbia by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,98,37,"$28,081,754"
2022,,Total,37,"$28,081,754"
2022,,Summary for Florida by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,3,60,"$31,224,680"
2022,,4,2,"$449,782"
2022,,5,3,"$822,751"
2022,,7,13,"$4,796,444"
2022,,14,17,"$9,163,916"
2022,,18,7,"$3,146,623"
2022,,22,4,"$1,101,245"
2022,,23,1,"$462,459"
2022,,24,3,"$899,859"
2022,,26,1,"$221,250"
2022,,27,19,"$8,021,012"
2022,,Total,130,"$60,310,021"
2022,,Summary for Georgia by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,5,184,"$198,591,629"
2022,,6,1,"$918,854"
2022,,7,1,"$300,000"
2022,,10,55,"$32,589,358"
2022,,11,2,"$816,874"
2022,,12,4,"$1,141,896"
2022,,13,1,"$677,001"
2022,,Total,248,"$235,035,612"
2022,,Summary for Hawaii by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,5,"$3,588,006"
2022,,Total,5,"$3,588,006"
2022,,Summary for Idaho by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,4,"$1,186,461"
2022,,2,3,"$934,860"
2022,,Total,7,"$2,121,321"
2022,,Summary for Illinois by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,55,"$37,328,252"
2022,,6,1,"$726,426"
2022,,7,127,"$69,860,234"
2022,,9,1,"$410,867"
2022,,10,2,"$624,000"
2022,,12,2,"$875,606"
2022,,13,25,"$11,653,271"
2022,,Total,213,"$121,478,656"
2022,,Summary for Indiana by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,13,"$6,074,608"
2022,,4,18,"$9,061,526"
2022,,7,37,"$16,597,849"
2022,,9,6,"$1,678,848"
2022,,Total,74,"$33,412,831"
2022,,Summary for Iowa by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,57,"$21,014,774"
2022,,4,14,"$6,010,920"
2022,,Total,71,"$27,025,694"
2022,,Summary for Kansas by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,13,"$5,361,115"
2022,,2,8,"$4,929,272"
2022,,3,16,"$6,274,443"
2022,,Total,37,"$16,564,830"
2022,,Summary for Kentucky by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,3,15,"$6,438,698"
2022,,6,19,"$8,911,400"
2022,,Total,34,"$15,350,098"
2022,,Summary for Louisiana by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,31,"$23,586,368"
2022,,2,4,"$661,164"
2022,,3,8,"$5,745,134"
2022,,4,4,"$1,178,883"
2022,,6,6,"$2,494,546"
2022,,Total,53,"$33,666,095"
2022,,Summary for Maine by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,7,"$5,454,638"
2022,,Total,7,"$5,454,638"
2022,,Summary for Maryland by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,3,9,"$7,638,216"
2022,,5,27,"$16,720,788"
2022,,6,41,"$40,275,358"
2022,,7,250,"$198,524,462"
2022,,8,313,"$262,934,401"
2022,,Total,640,"$526,093,225"
2022,,Summary for Massachusetts by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,1,"$392,862"
2022,,2,79,"$40,976,475"
2022,,3,10,"$9,295,390"
2022,,4,8,"$3,774,414"
2022,,5,18,"$17,558,808"
2022,,7,398,"$297,093,296"
2022,,8,118,"$64,455,942"
2022,,9,2,"$646,714"
2022,,Total,634,"$434,193,901"
2022,,Summary for Michigan by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,3,3,"$1,761,311"
2022,,6,3,"$830,500"
2022,,8,15,"$8,952,256"
2022,,12,82,"$39,762,048"
2022,,13,10,"$6,471,435"
2022,,Total,113,"$57,777,550"
2022,,Summary for Minnesota by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,21,"$8,793,249"
2022,,4,2,"$1,309,537"
2022,,5,82,"$100,825,051"
2022,,Total,105,"$110,927,837"
2022,,Summary for Mississippi by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,2,"$437,700"
2022,,3,3,"$701,020"
2022,,4,3,"$873,349"
2022,,Total,8,"$2,012,069"
2022,,Summary for Missouri by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,165,"$89,419,253"
2022,,2,1,"$300,000"
2022,,4,18,"$9,192,863"
2022,,5,5,"$3,224,782"
2022,,7,1,"$355,756"
2022,,Total,190,"$102,492,654"
2022,,Summary for Montana by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,At-Large,17,"$12,489,909"
2022,,Total,17,"$12,489,909"
2022,,Summary for Nebraska by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,5,"$1,696,628"
2022,,2,22,"$14,424,462"
2022,,Total,27,"$16,121,090"
2022,,Summary for Nevada by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,4,"$2,535,820"
2022,,3,1,"$447,276"
2022,,Total,5,"$2,983,096"
2022,,Summary for New Hampshire by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,2,22,"$11,343,829"
2022,,Total,22,"$11,343,829"
2022,,Summary for New Jersey by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,1,"$402,500"
2022,,3,1,"$920,583"
2022,,5,15,"$81,752,680"
2022,,6,10,"$3,635,374"
2022,,7,1,"$226,287"
2022,,10,61,"$36,946,853"
2022,,12,12,"$6,435,257"
2022,,Total,101,"$130,319,534"
2022,,Summary for New Mexico by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,17,"$7,573,793"
2022,,2,1,"$771,464"
2022,,3,6,"$4,400,237"
2022,,Total,24,"$12,745,494"
2022,,Summary for New York by Congressional District,,
2022,,Congressional District,Awards,Funding
2022,,1,22,"$11,801,075"
2022,,2,2,"$1,291,695"
2022,,3,18,"$9,144,179"
2022,,6,1,"$192,500"
2022,,9,2,"$404,219"
2022,,10,10,"$15,665,008"
2022,,12,206,"$206,654,824"
